entry_type,addr,bank,status,canonical_addr,canonical_bank
extra_func,80B0,0,AUTO_DISCOVERED,,
extra_func,8296,0,AUTO_DISCOVERED,,
extra_func,832F,0,AUTO_DISCOVERED,,
extra_func,C000,7,AUTO_DISCOVERED,,
extra_func,C114,7,AUTO_DISCOVERED,,
extra_func,C155,7,AUTO_DISCOVERED,,
extra_func,C158,7,AUTO_DISCOVERED,,
extra_func,C16D,7,AUTO_DISCOVERED,,
extra_func,C1A3,7,AUTO_DISCOVERED,,
extra_func,C1D4,7,AUTO_DISCOVERED,,
extra_func,C1E0,7,AUTO_DISCOVERED,,
extra_func,C215,7,AUTO_DISCOVERED,,
extra_func,C21F,7,AUTO_DISCOVERED,,
extra_func,C266,7,AUTO_DISCOVERED,,
extra_func,C27C,7,AUTO_DISCOVERED,,
extra_func,C29A,7,AUTO_DISCOVERED,,
extra_func,C2A8,7,AUTO_DISCOVERED,,
extra_func,C2BF,7,AUTO_DISCOVERED,,
extra_func,C2C4,7,AUTO_DISCOVERED,,
extra_func,C2C5,7,AUTO_DISCOVERED,,
extra_func,C2CA,7,AUTO_DISCOVERED,,
extra_func,C30C,7,AUTO_DISCOVERED,,
extra_func,C318,7,AUTO_DISCOVERED,,
extra_func,C36B,7,AUTO_DISCOVERED,,
extra_func,C376,7,AUTO_DISCOVERED,,
extra_func,C3C6,7,AUTO_DISCOVERED,,
extra_func,C3D4,7,AUTO_DISCOVERED,,
extra_func,C3DA,7,AUTO_DISCOVERED,,
extra_func,C41D,7,AUTO_DISCOVERED,,
extra_func,C434,7,AUTO_DISCOVERED,,
extra_func,C43D,7,AUTO_DISCOVERED,,
extra_func,C44D,7,AUTO_DISCOVERED,,
extra_func,C45C,7,AUTO_DISCOVERED_AS_SECONDARY,C447,7
extra_func,C45D,7,AUTO_DISCOVERED,,
extra_func,C494,7,AUTO_DISCOVERED,,
extra_func,C4AA,7,AUTO_DISCOVERED,,
extra_func,C4B2,7,AUTO_DISCOVERED,,
extra_func,C4D9,7,AUTO_DISCOVERED,,
extra_func,C4DE,7,AUTO_DISCOVERED,,
extra_func,C4E8,7,AUTO_DISCOVERED,,
extra_func,C4EF,7,AUTO_DISCOVERED,,
extra_func,C4FA,7,AUTO_DISCOVERED,,
